"Sample_name"	"Comment"	"Flask_number"	"Replicate_number"	"Colony_count"	"Volume_plated_mL"	"Dilution_applied"	"CFU_mL"	"Time"	"Wire_treatment"	"Strain"	"DMSO_treatment"	"Technical_mean_CFU_mL"	"Technical_stdev_CFU_mL"	"Biological_mean_CFU_mL"	"Biological_stdev_CFU_mL"
"0-8.1"	"2024-05-14_0hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	2	393	0.1	100010	393039300	0	"No wire"	"Wild type"	"DMSO"	476713016.666667	210387669.630968	380704133.333333	105172462.245097
"0-8.1"	"2024-05-14_0hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	3	321	0.1	100011	321035310	0	"No wire"	"Wild type"	"DMSO"	476713016.666667	210387669.630968	380704133.333333	105172462.245097
"24-5.1"	"2024-05-15_24hr_Wire+10%inoc_5_A-F"	5.1	1	72	0.1	1e+06	7.2e+08	24	"Wire included"	"Wild type"	"No DMSO"	6.4e+08	72111025.5092798	568780259.166667	57109746.2507838
"24-5.1"	"2024-05-15_24hr_Wire+10%inoc_5_A-F"	5.1	2	62	0.1	1e+06	6.2e+08	24	"Wire included"	"Wild type"	"No DMSO"	6.4e+08	72111025.5092798	568780259.166667	57109746.2507838
"24-5.1"	"2024-05-15_24hr_Wire+10%inoc_5_A-F"	5.1	3	58	0.1	1e+06	5.8e+08	24	"Wire included"	"Wild type"	"No DMSO"	6.4e+08	72111025.5092798	568780259.166667	57109746.2507838
"24-6.1"	"2024-05-15_24hr_NoWire+10%inoc_6_A-F"	6.1	1	490	0.1	1e+06	4.9e+09	24	"No wire"	"Wild type"	"No DMSO"	4.63e+09	310966236.109324	5340833333.33333	1644228427.3215
"24-6.1"	"2024-05-15_24hr_NoWire+10%inoc_6_A-F"	6.1	2	470	0.1	1e+06	4.7e+09	24	"No wire"	"Wild type"	"No DMSO"	4.63e+09	310966236.109324	5340833333.33333	1644228427.3215
"24-6.1"	"2024-05-15_24hr_NoWire+10%inoc_6_A-F"	6.1	3	429	0.1	1e+06	4.29e+09	24	"No wire"	"Wild type"	"No DMSO"	4.63e+09	310966236.109324	5340833333.33333	1644228427.3215
"24-7.1"	"2024-05-15_24hr_Wire+10%inoc+DMSO_7_A-F"	7.1	1	36	0.1	1e+06	3.6e+08	24	"Wire included"	"Wild type"	"DMSO"	4.4e+08	91651513.8991168	4.18e+08	24099792.5302273
"24-7.1"	"2024-05-15_24hr_Wire+10%inoc+DMSO_7_A-F"	7.1	2	54	0.1	1e+06	5.4e+08	24	"Wire included"	"Wild type"	"DMSO"	4.4e+08	91651513.8991168	4.18e+08	24099792.5302273
"24-7.1"	"2024-05-15_24hr_Wire+10%inoc+DMSO_7_A-F"	7.1	3	42	0.1	1e+06	4.2e+08	24	"Wire included"	"Wild type"	"DMSO"	4.4e+08	91651513.8991168	4.18e+08	24099792.5302273
"24-8.1"	"2024-05-15_24hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	1	196	0.1	1e+06	1.96e+09	24	"No wire"	"Wild type"	"DMSO"	1.98e+09	101488915.650922	2328333333.33333	381580048.395266
"24-8.1"	"2024-05-15_24hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	2	209	0.1	1e+06	2.09e+09	24	"No wire"	"Wild type"	"DMSO"	1.98e+09	101488915.650922	2328333333.33333	381580048.395266
"24-8.1"	"2024-05-15_24hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	3	189	0.1	1e+06	1.89e+09	24	"No wire"	"Wild type"	"DMSO"	1.98e+09	101488915.650922	2328333333.33333	381580048.395266
"72-5.1"	"2024-05-17_72hr_Wire+10%inoc_5_A-F"	5.1	1	5	0.1	1e+06	5e+07	72	"Wire included"	"Wild type"	"No DMSO"	46666666.6666667	25166114.7842358	23900000	18091024.9899
"72-5.1"	"2024-05-17_72hr_Wire+10%inoc_5_A-F"	5.1	2	2	0.1	1e+06	2e+07	72	"Wire included"	"Wild type"	"No DMSO"	46666666.6666667	25166114.7842358	23900000	18091024.9899
"72-5.1"	"2024-05-17_72hr_Wire+10%inoc_5_A-F"	5.1	3	7	0.1	1e+06	7e+07	72	"Wire included"	"Wild type"	"No DMSO"	46666666.6666667	25166114.7842358	23900000	18091024.9899
"72-6.1"	"2024-05-17_72hr_NoWire+10%inoc_6_A-F"	6.1	1	582	0.1	1e+06	5.82e+09	72	"No wire"	"Wild type"	"No DMSO"	5566666666.66667	237135685.491099	5737500000	480589127.104337
"72-6.1"	"2024-05-17_72hr_NoWire+10%inoc_6_A-F"	6.1	2	553	0.1	1e+06	5.53e+09	72	"No wire"	"Wild type"	"No DMSO"	5566666666.66667	237135685.491099	5737500000	480589127.104337
"72-6.1"	"2024-05-17_72hr_NoWire+10%inoc_6_A-F"	6.1	3	535	0.1	1e+06	5.35e+09	72	"No wire"	"Wild type"	"No DMSO"	5566666666.66667	237135685.491099	5737500000	480589127.104337
"72-7.1"	"2024-05-17_72hr_Wire+10%inoc+DMSO_7_A-F"	7.1	1	71	0.1	1e+06	7.1e+08	72	"Wire included"	"Wild type"	"DMSO"	6.4e+08	62449979.983984	506500000	146241922.853879
"72-7.1"	"2024-05-17_72hr_Wire+10%inoc+DMSO_7_A-F"	7.1	2	62	0.1	1e+06	6.2e+08	72	"Wire included"	"Wild type"	"DMSO"	6.4e+08	62449979.983984	506500000	146241922.853879
"72-7.1"	"2024-05-17_72hr_Wire+10%inoc+DMSO_7_A-F"	7.1	3	59	0.1	1e+06	5.9e+08	72	"Wire included"	"Wild type"	"DMSO"	6.4e+08	62449979.983984	506500000	146241922.853879
"72-8.1"	"2024-05-17_72hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	1	281	0.1	1e+06	2.81e+09	72	"No wire"	"Wild type"	"DMSO"	2486666666.66667	281128677.536343	2113333333.33333	408966176.270524
"72-8.1"	"2024-05-17_72hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	2	235	0.1	1e+06	2.35e+09	72	"No wire"	"Wild type"	"DMSO"	2486666666.66667	281128677.536343	2113333333.33333	408966176.270524
"72-8.1"	"2024-05-17_72hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	3	230	0.1	1e+06	2.3e+09	72	"No wire"	"Wild type"	"DMSO"	2486666666.66667	281128677.536343	2113333333.33333	408966176.270524
"168-5.1"	"2024-05-21_168hr_Wire+10%inoc_5_A-F"	5.1	2	3	0.1	1e+05	3e+06	168	"Wire included"	"Wild type"	"No DMSO"	2500000	707106.781186547	3611111.11111111	1588850.03837506
"168-5.1"	"2024-05-21_168hr_Wire+10%inoc_5_A-F"	5.1	3	2	0.1	1e+05	2e+06	168	"Wire included"	"Wild type"	"No DMSO"	2500000	707106.781186547	3611111.11111111	1588850.03837506
"168-6.1"	"2024-05-21_168hr_NoWire+10%inoc_6_A-F"	6.1	1	553	0.1	1e+06	5.53e+09	168	"No wire"	"Wild type"	"No DMSO"	5296666666.66667	235017729.827631	4317500000	606507013.62454
"168-6.1"	"2024-05-21_168hr_NoWire+10%inoc_6_A-F"	6.1	2	530	0.1	1e+06	5.3e+09	168	"No wire"	"Wild type"	"No DMSO"	5296666666.66667	235017729.827631	4317500000	606507013.62454
"168-6.1"	"2024-05-21_168hr_NoWire+10%inoc_6_A-F"	6.1	3	506	0.1	1e+06	5.06e+09	168	"No wire"	"Wild type"	"No DMSO"	5296666666.66667	235017729.827631	4317500000	606507013.62454
"168-7.1"	"2024-05-21_168hr_Wire+10%inoc+DMSO_7_A-F"	7.1	1	56	0.1	1e+05	5.6e+07	168	"Wire included"	"Wild type"	"DMSO"	6.2e+07	6557438.524302	60500000	1643167.6725155
"168-7.1"	"2024-05-21_168hr_Wire+10%inoc+DMSO_7_A-F"	7.1	2	69	0.1	1e+05	6.9e+07	168	"Wire included"	"Wild type"	"DMSO"	6.2e+07	6557438.524302	60500000	1643167.6725155
"168-7.1"	"2024-05-21_168hr_Wire+10%inoc+DMSO_7_A-F"	7.1	3	61	0.1	1e+05	6.1e+07	168	"Wire included"	"Wild type"	"DMSO"	6.2e+07	6557438.524302	60500000	1643167.6725155
"168-8.1"	"2024-05-21_168hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	1	277	0.1	1e+06	2.77e+09	168	"No wire"	"Wild type"	"DMSO"	2676666666.66667	506491197.685935	1883333333.33333	869053124.574864
"168-8.1"	"2024-05-21_168hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	2	213	0.1	1e+06	2.13e+09	168	"No wire"	"Wild type"	"DMSO"	2676666666.66667	506491197.685935	1883333333.33333	869053124.574864
"168-8.1"	"2024-05-21_168hr_NoWire+10%inoc+DMSO_8_A-F"	8.1	3	313	0.1	1e+06	3.13e+09	168	"No wire"	"Wild type"	"DMSO"	2676666666.66667	506491197.685935	1883333333.33333	869053124.574864
"0-5.3-B"	"2024-05-28_0hr_Wire+10%inoc_5_A-F"	5.3	1	506	0.1	1e+05	5.06e+08	0	"Wire included"	"Wild type"	"No DMSO"	476337720	73157110.2678147	429090466.666667	72626998.5976493
"0-5.3-B"	"2024-05-28_0hr_Wire+10%inoc_5_A-F"	5.3	2	530	0.1	100001	530005300	0	"Wire included"	"Wild type"	"No DMSO"	476337720	73157110.2678147	429090466.666667	72626998.5976493
"0-5.3-B"	"2024-05-28_0hr_Wire+10%inoc_5_A-F"	5.3	3	393	0.1	100002	393007860	0	"Wire included"	"Wild type"	"No DMSO"	476337720	73157110.2678147	429090466.666667	72626998.5976493
"0-6.3-B"	"2024-05-28_0hr_NoWire+10%inoc_6_A-F"	6.3	1	475	0.1	100003	475014250	0	"No wire"	"Wild type"	"No DMSO"	450017776.666667	36589848.5931226	447778691.666667	48418409.6991391
"0-6.3-B"	"2024-05-28_0hr_NoWire+10%inoc_6_A-F"	6.3	2	467	0.1	100004	467018680	0	"No wire"	"Wild type"	"No DMSO"	450017776.666667	36589848.5931226	447778691.666667	48418409.6991391
"0-6.3-B"	"2024-05-28_0hr_NoWire+10%inoc_6_A-F"	6.3	3	408	0.1	100005	408020400	0	"No wire"	"Wild type"	"No DMSO"	450017776.666667	36589848.5931226	447778691.666667	48418409.6991391
"0-7.3-B"	"2024-05-28_0hr_Wire+10%inoc+DMSO_7_A-F"	7.3	1	443	0.1	100006	443026580	0	"Wire included"	"Wild type"	"DMSO"	394693946.666667	52386207.2874238	371192468.333333	25744579.6357712
"0-7.3-B"	"2024-05-28_0hr_Wire+10%inoc+DMSO_7_A-F"	7.3	2	402	0.1	100007	402028140	0	"Wire included"	"Wild type"	"DMSO"	394693946.666667	52386207.2874238	371192468.333333	25744579.6357712
"0-7.3-B"	"2024-05-28_0hr_Wire+10%inoc+DMSO_7_A-F"	7.3	3	339	0.1	100008	339027120	0	"Wire included"	"Wild type"	"DMSO"	394693946.666667	52386207.2874238	371192468.333333	25744579.6357712
"0-8.3-B"	"2024-05-28_0hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	1	246	0.1	100009	246022140	0	"No wire"	"Wild type"	"DMSO"	284695250	40629401.2828776	380704133.333333	105172462.245097
"0-8.3-B"	"2024-05-28_0hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	2	327	0.1	100010	327032700	0	"No wire"	"Wild type"	"DMSO"	284695250	40629401.2828776	380704133.333333	105172462.245097
"0-8.3-B"	"2024-05-28_0hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	3	281	0.1	100011	281030910	0	"No wire"	"Wild type"	"DMSO"	284695250	40629401.2828776	380704133.333333	105172462.245097
"24-5.3-B"	"2024-05-29_24hr_Wire+10%inoc_5_A-F"	5.3	1	561	0.1	1e+05	5.61e+08	24	"Wire included"	"Wild type"	"No DMSO"	534666666.666667	39703064.5332742	568780259.166667	57109746.2507838
"24-5.3-B"	"2024-05-29_24hr_Wire+10%inoc_5_A-F"	5.3	2	489	0.1	1e+05	4.89e+08	24	"Wire included"	"Wild type"	"No DMSO"	534666666.666667	39703064.5332742	568780259.166667	57109746.2507838
"24-5.3-B"	"2024-05-29_24hr_Wire+10%inoc_5_A-F"	5.3	3	554	0.1	1e+05	5.54e+08	24	"Wire included"	"Wild type"	"No DMSO"	534666666.666667	39703064.5332742	568780259.166667	57109746.2507838
"24-6.3-B"	"2024-05-29_24hr_NoWire+10%inoc_6_A-F"	6.3	1	340	0.1	1e+06	3.4e+09	24	"No wire"	"Wild type"	"No DMSO"	3266666666.66667	115902257.671425	5340833333.33333	1644228427.3215
"24-6.3-B"	"2024-05-29_24hr_NoWire+10%inoc_6_A-F"	6.3	2	319	0.1	1e+06	3.19e+09	24	"No wire"	"Wild type"	"No DMSO"	3266666666.66667	115902257.671425	5340833333.33333	1644228427.3215
"24-6.3-B"	"2024-05-29_24hr_NoWire+10%inoc_6_A-F"	6.3	3	321	0.1	1e+06	3.21e+09	24	"No wire"	"Wild type"	"No DMSO"	3266666666.66667	115902257.671425	5340833333.33333	1644228427.3215
"24-7.3-B"	"2024-05-29_24hr_Wire+10%inoc+DMSO_7_A-F"	7.3	1	421	0.1	1e+05	4.21e+08	24	"Wire included"	"Wild type"	"DMSO"	3.96e+08	2.5e+07	4.18e+08	24099792.5302273
"24-7.3-B"	"2024-05-29_24hr_Wire+10%inoc+DMSO_7_A-F"	7.3	2	396	0.1	1e+05	3.96e+08	24	"Wire included"	"Wild type"	"DMSO"	3.96e+08	2.5e+07	4.18e+08	24099792.5302273
"24-7.3-B"	"2024-05-29_24hr_Wire+10%inoc+DMSO_7_A-F"	7.3	3	371	0.1	1e+05	3.71e+08	24	"Wire included"	"Wild type"	"DMSO"	3.96e+08	2.5e+07	4.18e+08	24099792.5302273
"24-8.3-B"	"2024-05-29_24hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	1	218	0.1	1e+06	2.18e+09	24	"No wire"	"Wild type"	"DMSO"	2676666666.66667	557703624.99569	2328333333.33333	381580048.395266
"24-8.3-B"	"2024-05-29_24hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	2	328	0.1	1e+06	3.28e+09	24	"No wire"	"Wild type"	"DMSO"	2676666666.66667	557703624.99569	2328333333.33333	381580048.395266
"24-8.3-B"	"2024-05-29_24hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	3	257	0.1	1e+06	2.57e+09	24	"No wire"	"Wild type"	"DMSO"	2676666666.66667	557703624.99569	2328333333.33333	381580048.395266
"72-5.3-B"	"2024-05-31_72hr_Wire+10%inoc_5_A-F"	5.3	3	1	0.1	1e+05	1e+06	72	"Wire included"	"Wild type"	"No DMSO"	1e+06	NA	23900000	18091024.9899
"72-6.3-B"	"2024-05-31_72hr_NoWire+10%inoc_6_A-F"	6.3	1	538	0.1	1e+06	5.38e+09	72	"No wire"	"Wild type"	"No DMSO"	5616666666.66667	221885856.541902	5737500000	480589127.104337
"72-6.3-B"	"2024-05-31_72hr_NoWire+10%inoc_6_A-F"	6.3	2	582	0.1	1e+06	5.82e+09	72	"No wire"	"Wild type"	"No DMSO"	5616666666.66667	221885856.541902	5737500000	480589127.104337
"72-6.3-B"	"2024-05-31_72hr_NoWire+10%inoc_6_A-F"	6.3	3	565	0.1	1e+06	5.65e+09	72	"No wire"	"Wild type"	"No DMSO"	5616666666.66667	221885856.541902	5737500000	480589127.104337
"72-7.3-B"	"2024-05-31_72hr_Wire+10%inoc+DMSO_7_A-F"	7.3	1	375	0.1	1e+05	3.75e+08	72	"Wire included"	"Wild type"	"DMSO"	3.73e+08	5291502.62212918	506500000	146241922.853879
"72-7.3-B"	"2024-05-31_72hr_Wire+10%inoc+DMSO_7_A-F"	7.3	2	377	0.1	1e+05	3.77e+08	72	"Wire included"	"Wild type"	"DMSO"	3.73e+08	5291502.62212918	506500000	146241922.853879
"72-7.3-B"	"2024-05-31_72hr_Wire+10%inoc+DMSO_7_A-F"	7.3	3	367	0.1	1e+05	3.67e+08	72	"Wire included"	"Wild type"	"DMSO"	3.73e+08	5291502.62212918	506500000	146241922.853879
"72-8.3-B"	"2024-05-31_72hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	1	169	0.1	1e+06	1.69e+09	72	"No wire"	"Wild type"	"DMSO"	1.74e+09	1.9e+08	2113333333.33333	408966176.270524
"72-8.3-B"	"2024-05-31_72hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	2	158	0.1	1e+06	1.58e+09	72	"No wire"	"Wild type"	"DMSO"	1.74e+09	1.9e+08	2113333333.33333	408966176.270524
"72-8.3-B"	"2024-05-31_72hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	3	195	0.1	1e+06	1.95e+09	72	"No wire"	"Wild type"	"DMSO"	1.74e+09	1.9e+08	2113333333.33333	408966176.270524
"168-5.3-B"	"2024-06-04_168hr_Wire+10%inoc_5_A-F"	5.3	3	5	0.1	1e+05	5e+06	168	"Wire included"	"Wild type"	"No DMSO"	5e+06	NA	3611111.11111111	1588850.03837506
"168-6.3-B"	"2024-06-04_168hr_NoWire+10%inoc_6_A-F"	6.3	1	404	0.1	1e+06	4.04e+09	168	"No wire"	"Wild type"	"No DMSO"	4013333333.33333	151767365.837763	4317500000	606507013.62454
"168-6.3-B"	"2024-06-04_168hr_NoWire+10%inoc_6_A-F"	6.3	2	415	0.1	1e+06	4.15e+09	168	"No wire"	"Wild type"	"No DMSO"	4013333333.33333	151767365.837763	4317500000	606507013.62454
"168-6.3-B"	"2024-06-04_168hr_NoWire+10%inoc_6_A-F"	6.3	3	385	0.1	1e+06	3.85e+09	168	"No wire"	"Wild type"	"No DMSO"	4013333333.33333	151767365.837763	4317500000	606507013.62454
"168-7.3-B"	"2024-06-04_168hr_Wire+10%inoc+DMSO_7_A-F"	7.3	1	58	0.1	1e+05	5.8e+07	168	"Wire included"	"Wild type"	"DMSO"	5.9e+07	3605551.27546399	60500000	1643167.6725155
"168-7.3-B"	"2024-06-04_168hr_Wire+10%inoc+DMSO_7_A-F"	7.3	2	63	0.1	1e+05	6.3e+07	168	"Wire included"	"Wild type"	"DMSO"	5.9e+07	3605551.27546399	60500000	1643167.6725155
"168-7.3-B"	"2024-06-04_168hr_Wire+10%inoc+DMSO_7_A-F"	7.3	3	56	0.1	1e+05	5.6e+07	168	"Wire included"	"Wild type"	"DMSO"	5.9e+07	3605551.27546399	60500000	1643167.6725155
"168-8.3-B"	"2024-06-04_168hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	1	115	0.1	1e+06	1.15e+09	168	"No wire"	"Wild type"	"DMSO"	1.09e+09	52915026.2212918	1883333333.33333	869053124.574864
"168-8.3-B"	"2024-06-04_168hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	2	105	0.1	1e+06	1.05e+09	168	"No wire"	"Wild type"	"DMSO"	1.09e+09	52915026.2212918	1883333333.33333	869053124.574864
"168-8.3-B"	"2024-06-04_168hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	3	107	0.1	1e+06	1.07e+09	168	"No wire"	"Wild type"	"DMSO"	1.09e+09	52915026.2212918	1883333333.33333	869053124.574864
"0-5.5-B"	"2025-01-14_0hr_Wire+10%inoc_5_A-F"	5.5	1	511	0.1	1e+05	5.11e+08	0	"Wire included"	"Wild type"	"No DMSO"	512338533.333333	21034845.4215317	429090466.666667	72626998.5976493
"0-5.5-B"	"2025-01-14_0hr_Wire+10%inoc_5_A-F"	5.5	2	492	0.1	100001	492004920	0	"Wire included"	"Wild type"	"No DMSO"	512338533.333333	21034845.4215317	429090466.666667	72626998.5976493
"0-5.5-B"	"2025-01-14_0hr_Wire+10%inoc_5_A-F"	5.5	3	534	0.1	100002	534010680	0	"Wire included"	"Wild type"	"No DMSO"	512338533.333333	21034845.4215317	429090466.666667	72626998.5976493
"0-5.6-B"	"2025-01-14_0hr_Wire+10%inoc_5_A-F"	5.6	1	396	0.1	100003	396011880	0	"Wire included"	"Wild type"	"No DMSO"	392682353.333333	3051310.29496073	429090466.666667	72626998.5976493
"0-5.6-B"	"2025-01-14_0hr_Wire+10%inoc_5_A-F"	5.6	2	392	0.1	100004	392015680	0	"Wire included"	"Wild type"	"No DMSO"	392682353.333333	3051310.29496073	429090466.666667	72626998.5976493
"0-5.6-B"	"2025-01-14_0hr_Wire+10%inoc_5_A-F"	5.6	3	390	0.1	100005	390019500	0	"Wire included"	"Wild type"	"No DMSO"	392682353.333333	3051310.29496073	429090466.666667	72626998.5976493
"0-6.5-B"	"2025-01-14_0hr_NoWire+10%inoc_6_A-F"	6.5	1	424	0.1	100006	424025440	0	"No wire"	"Wild type"	"No DMSO"	415362380	9017248.04625003	447778691.666667	48418409.6991391
"0-6.5-B"	"2025-01-14_0hr_NoWire+10%inoc_6_A-F"	6.5	2	406	0.1	100007	406028420	0	"No wire"	"Wild type"	"No DMSO"	415362380	9017248.04625003	447778691.666667	48418409.6991391
"0-6.5-B"	"2025-01-14_0hr_NoWire+10%inoc_6_A-F"	6.5	3	416	0.1	100008	416033280	0	"No wire"	"Wild type"	"No DMSO"	415362380	9017248.04625003	447778691.666667	48418409.6991391
"0-6.6-B"	"2025-01-14_0hr_NoWire+10%inoc_6_A-F"	6.6	1	591	0.1	100009	591053190	0	"No wire"	"Wild type"	"No DMSO"	522385196.666667	60003703.0847266	447778691.666667	48418409.6991391
"0-6.6-B"	"2025-01-14_0hr_NoWire+10%inoc_6_A-F"	6.6	2	496	0.1	100010	496049600	0	"No wire"	"Wild type"	"No DMSO"	522385196.666667	60003703.0847266	447778691.666667	48418409.6991391
"0-6.6-B"	"2025-01-14_0hr_NoWire+10%inoc_6_A-F"	6.6	3	480	0.1	100011	480052800	0	"No wire"	"Wild type"	"No DMSO"	522385196.666667	60003703.0847266	447778691.666667	48418409.6991391
"24-5.5-B"	"2025-01-15_24hr_Wire+10%inoc_5_A-F"	5.5	1	584	0.1	100011	584064240	24	"Wire included"	"Wild type"	"No DMSO"	600399370	29163683.1856969	568780259.166667	57109746.2507838
"24-5.5-B"	"2025-01-15_24hr_Wire+10%inoc_5_A-F"	5.5	2	634	0.1	100011	634069740	24	"Wire included"	"Wild type"	"No DMSO"	600399370	29163683.1856969	568780259.166667	57109746.2507838
"24-5.5-B"	"2025-01-15_24hr_Wire+10%inoc_5_A-F"	5.5	3	583	0.1	100011	583064130	24	"Wire included"	"Wild type"	"No DMSO"	600399370	29163683.1856969	568780259.166667	57109746.2507838
"24-5.6-B"	"2025-01-15_24hr_Wire+10%inoc_5_A-F"	5.6	1	489	0.1	100011	489053790	24	"Wire included"	"Wild type"	"No DMSO"	500055000	11001210	568780259.166667	57109746.2507838
"24-5.6-B"	"2025-01-15_24hr_Wire+10%inoc_5_A-F"	5.6	2	500	0.1	100011	500055000	24	"Wire included"	"Wild type"	"No DMSO"	500055000	11001210	568780259.166667	57109746.2507838
"24-5.6-B"	"2025-01-15_24hr_Wire+10%inoc_5_A-F"	5.6	3	511	0.1	100011	511056210	24	"Wire included"	"Wild type"	"No DMSO"	500055000	11001210	568780259.166667	57109746.2507838
"24-6.5-B"	"2025-01-15_24hr_NoWire+10%inoc_6_A-F"	6.5	1	572	0.1	1e+06	5.72e+09	24	"No wire"	"Wild type"	"No DMSO"	5.95e+09	442379927.211893	5340833333.33333	1644228427.3215
"24-6.5-B"	"2025-01-15_24hr_NoWire+10%inoc_6_A-F"	6.5	2	646	0.1	1e+06	6.46e+09	24	"No wire"	"Wild type"	"No DMSO"	5.95e+09	442379927.211893	5340833333.33333	1644228427.3215
"24-6.5-B"	"2025-01-15_24hr_NoWire+10%inoc_6_A-F"	6.5	3	567	0.1	1e+06	5.67e+09	24	"No wire"	"Wild type"	"No DMSO"	5.95e+09	442379927.211893	5340833333.33333	1644228427.3215
"24-6.6-B"	"2025-01-15_24hr_NoWire+10%inoc_6_A-F"	6.6	1	803	0.1	1e+06	8.03e+09	24	"No wire"	"Wild type"	"No DMSO"	7516666666.66667	448590384.798129	5340833333.33333	1644228427.3215
"24-6.6-B"	"2025-01-15_24hr_NoWire+10%inoc_6_A-F"	6.6	2	720	0.1	1e+06	7.2e+09	24	"No wire"	"Wild type"	"No DMSO"	7516666666.66667	448590384.798129	5340833333.33333	1644228427.3215
"24-6.6-B"	"2025-01-15_24hr_NoWire+10%inoc_6_A-F"	6.6	3	732	0.1	1e+06	7.32e+09	24	"No wire"	"Wild type"	"No DMSO"	7516666666.66667	448590384.798129	5340833333.33333	1644228427.3215
"72-5.5-B"	"2025-01-17_72hr_Wire+10%inoc_5_A-F"	5.5	1	29	0.1	1e+05	2.9e+07	72	"Wire included"	"Wild type"	"No DMSO"	25666666.6666667	3511884.58428425	23900000	18091024.9899
"72-5.5-B"	"2025-01-17_72hr_Wire+10%inoc_5_A-F"	5.5	2	26	0.1	1e+05	2.6e+07	72	"Wire included"	"Wild type"	"No DMSO"	25666666.6666667	3511884.58428425	23900000	18091024.9899
"72-5.5-B"	"2025-01-17_72hr_Wire+10%inoc_5_A-F"	5.5	3	22	0.1	1e+05	2.2e+07	72	"Wire included"	"Wild type"	"No DMSO"	25666666.6666667	3511884.58428425	23900000	18091024.9899
"72-5.6-B"	"2025-01-17_72hr_Wire+10%inoc_5_A-F"	5.6	1	2	0.1	1e+05	2e+06	72	"Wire included"	"Wild type"	"No DMSO"	7e+06	4358898.94354067	23900000	18091024.9899
